3.770587485396783478e+01 2.587930691475893141e+01 1.118078490075432541e+01 6.299824979032359273e+00
8.567026150050249811e+00 6.424406822484341362e+00 2.643331203294178167e+01 4.759113528349157463e+00
4.662942399351071288e+01 3.022242849868337800e+01 4.935137805947844925e+01 1.632100564282247745e+01
3.899391382534141570e+01 3.154382599176111412e+01 1.488671627928848729e+01 9.927861689726663386e+00
1.550027604900601830e+01 4.845142251248824294e+01 3.016164797634684902e+01 1.829314173390025289e+01
6.633643598057398449e+00 4.230855187370635484e+00 3.369157161619536112e+01 3.933629762335312563e+01
3.643500007938898833e+00 6.117581724785492447e-01 1.883570963444062940e+01 1.317930293994998792e+01
2.484343253433307641e+00 3.377391738745602368e+01 1.891731260242679458e+00 2.708342267789468139e+01
1.548219208102971045e+01 4.978432857134735201e+01 4.817905850502066301e+01 3.566727197645265335e+01
2.216530831538840474e+01 3.291388505915066531e+01 3.837315600590083164e+01 3.200800632401647761e+01
3.251998849690740911e+01 4.586655671886683905e+01 1.245190816056573979e+01 3.392922999341689660e+01
4.921332445377555587e+01 4.304899736669977983e+01 4.155144365721394450e+01 4.284145576212721807e+01
3.723483230114884890e+01 3.327424984693052323e+01 1.956142601824162330e+00 4.664086924018147329e+01
