1.621352618720616761e+02 1.112810197334633955e+02 4.807737507324359427e+01 2.708924740983914248e+01
3.683821244521607241e+01 2.762494933668266839e+01 1.136632417416496565e+02 2.046418817190137673e+01
2.005065231720960526e+02 1.299564425443385289e+02 2.122109256557573360e+02 7.018032426413664382e+01
1.676738294489680925e+02 1.356384517645727783e+02 6.401288000094049835e+01 4.268980526582465274e+01
6.665118701072587726e+01 2.083411168036994354e+02 1.296950862982914430e+02 7.866050945577107711e+01
2.852466747164681138e+01 1.819267730569373143e+01 1.448737579496400372e+02 1.691460797804184324e+02
1.566705003413726516e+01 2.630560141657761530e+00 8.099355142809470465e+01 5.667100264178494484e+01
1.068267598976322219e+01 1.452278447660608833e+02 8.134444419043521890e+00 1.164587175149471250e+02
6.657342594842775441e+01 2.140726128567935973e+02 2.071699515715888538e+02 1.533692694987464051e+02
9.531082575617013219e+01 1.415297057543478445e+02 1.650045708253735768e+02 1.376344271932708523e+02
1.398359505367018585e+02 1.972261938911273944e+02 5.354320509043267862e+01 1.458956889716926355e+02
2.116172951512348845e+02 1.851106886768090476e+02 1.786712077260199578e+02 1.842182597771470398e+02
1.601097788949400353e+02 1.430792743418012378e+02 8.411413187843898243e+00 2.005557377327803295e+02
